estado,trimestre,total,motivo_de_uso,tipo_de_arma,year
aguascalientes,3er,4,protección_a_domicilio,cortas,2024
baja california,3er,4,protección_a_domicilio,cortas,2024
baja california  sur,3er,1,protección_a_domicilio,cortas,2024
campeche,3er,2,protección_a_domicilio,cortas,2024
chiapas,3er,8,protección_a_domicilio,cortas,2024
chihuahua,3er,1,protección_a_domicilio,cortas,2024
cd. mex,3er,0,protección_a_domicilio,cortas,2024
coahuila,3er,9,protección_a_domicilio,cortas,2024
colima,3er,0,protección_a_domicilio,cortas,2024
durango,3er,1,protección_a_domicilio,cortas,2024
edo. mex.,3er,247,protección_a_domicilio,cortas,2024
guanajuato,3er,0,protección_a_domicilio,cortas,2024
guerrero,3er,1,protección_a_domicilio,cortas,2024
hidalgo,3er,0,protección_a_domicilio,cortas,2024
jalisco,3er,0,protección_a_domicilio,cortas,2024
michoacan,3er,0,protección_a_domicilio,cortas,2024
morelos,3er,1,protección_a_domicilio,cortas,2024
nayarit,3er,0,protección_a_domicilio,cortas,2024
nuevo leon,3er,38,protección_a_domicilio,cortas,2024
oaxaca,3er,2,protección_a_domicilio,cortas,2024
puebla,3er,0,protección_a_domicilio,cortas,2024
queretaro,3er,0,protección_a_domicilio,cortas,2024
q. roo,3er,2,protección_a_domicilio,cortas,2024
s.l.p.,3er,1,protección_a_domicilio,cortas,2024
sinaloa,3er,5,protección_a_domicilio,cortas,2024
sonora,3er,11,protección_a_domicilio,cortas,2024
tabasco,3er,1,protección_a_domicilio,cortas,2024
tamaulipas,3er,0,protección_a_domicilio,cortas,2024
tlaxcala,3er,0,protección_a_domicilio,cortas,2024
veracruz,3er,3,protección_a_domicilio,cortas,2024
yucatan,3er,1,protección_a_domicilio,cortas,2024
zacatecas,3er,3,protección_a_domicilio,cortas,2024
aguascalientes,3er,0,tiro_deportivo,cortas,2024
baja california,3er,0,tiro_deportivo,cortas,2024
baja california  sur,3er,0,tiro_deportivo,cortas,2024
campeche,3er,0,tiro_deportivo,cortas,2024
chiapas,3er,0,tiro_deportivo,cortas,2024
chihuahua,3er,0,tiro_deportivo,cortas,2024
cd. mex,3er,0,tiro_deportivo,cortas,2024
coahuila,3er,1,tiro_deportivo,cortas,2024
colima,3er,0,tiro_deportivo,cortas,2024
durango,3er,0,tiro_deportivo,cortas,2024
edo. mex.,3er,0,tiro_deportivo,cortas,2024
guanajuato,3er,0,tiro_deportivo,cortas,2024
guerrero,3er,0,tiro_deportivo,cortas,2024
hidalgo,3er,0,tiro_deportivo,cortas,2024
jalisco,3er,0,tiro_deportivo,cortas,2024
michoacan,3er,0,tiro_deportivo,cortas,2024
morelos,3er,0,tiro_deportivo,cortas,2024
nayarit,3er,0,tiro_deportivo,cortas,2024
nuevo leon,3er,0,tiro_deportivo,cortas,2024
oaxaca,3er,0,tiro_deportivo,cortas,2024
puebla,3er,0,tiro_deportivo,cortas,2024
queretaro,3er,0,tiro_deportivo,cortas,2024
q. roo,3er,0,tiro_deportivo,cortas,2024
s.l.p.,3er,0,tiro_deportivo,cortas,2024
sinaloa,3er,0,tiro_deportivo,cortas,2024
sonora,3er,0,tiro_deportivo,cortas,2024
tabasco,3er,0,tiro_deportivo,cortas,2024
tamaulipas,3er,0,tiro_deportivo,cortas,2024
tlaxcala,3er,0,tiro_deportivo,cortas,2024
veracruz,3er,0,tiro_deportivo,cortas,2024
yucatan,3er,0,tiro_deportivo,cortas,2024
zacatecas,3er,0,tiro_deportivo,cortas,2024
aguascalientes,3er,0,tiro_deportivo,largas,2024
baja california,3er,4,tiro_deportivo,largas,2024
baja california  sur,3er,2,tiro_deportivo,largas,2024
campeche,3er,5,tiro_deportivo,largas,2024
chiapas,3er,6,tiro_deportivo,largas,2024
chihuahua,3er,1,tiro_deportivo,largas,2024
cd. mex,3er,0,tiro_deportivo,largas,2024
coahuila,3er,13,tiro_deportivo,largas,2024
colima,3er,0,tiro_deportivo,largas,2024
durango,3er,1,tiro_deportivo,largas,2024
edo. mex.,3er,"1,263",tiro_deportivo,largas,2024
guanajuato,3er,2,tiro_deportivo,largas,2024
guerrero,3er,1,tiro_deportivo,largas,2024
hidalgo,3er,0,tiro_deportivo,largas,2024
jalisco,3er,8,tiro_deportivo,largas,2024
michoacan,3er,8,tiro_deportivo,largas,2024
morelos,3er,10,tiro_deportivo,largas,2024
nayarit,3er,0,tiro_deportivo,largas,2024
nuevo leon,3er,115,tiro_deportivo,largas,2024
oaxaca,3er,0,tiro_deportivo,largas,2024
puebla,3er,7,tiro_deportivo,largas,2024
queretaro,3er,0,tiro_deportivo,largas,2024
q. roo,3er,0,tiro_deportivo,largas,2024
s.l.p.,3er,0,tiro_deportivo,largas,2024
sinaloa,3er,23,tiro_deportivo,largas,2024
sonora,3er,5,tiro_deportivo,largas,2024
tabasco,3er,2,tiro_deportivo,largas,2024
tamaulipas,3er,6,tiro_deportivo,largas,2024
tlaxcala,3er,0,tiro_deportivo,largas,2024
veracruz,3er,0,tiro_deportivo,largas,2024
yucatan,3er,14,tiro_deportivo,largas,2024
zacatecas,3er,8,tiro_deportivo,largas,2024
aguascalientes,3er,8,cacería,cortas,2024
baja california,3er,8,cacería,cortas,2024
baja california  sur,3er,2,cacería,cortas,2024
campeche,3er,2,cacería,cortas,2024
chiapas,3er,4,cacería,cortas,2024
chihuahua,3er,0,cacería,cortas,2024
cd. mex,3er,0,cacería,cortas,2024
coahuila,3er,18,cacería,cortas,2024
colima,3er,0,cacería,cortas,2024
durango,3er,2,cacería,cortas,2024
edo. mex.,3er,668,cacería,cortas,2024
guanajuato,3er,6,cacería,cortas,2024
guerrero,3er,0,cacería,cortas,2024
hidalgo,3er,0,cacería,cortas,2024
jalisco,3er,0,cacería,cortas,2024
michoacan,3er,2,cacería,cortas,2024
morelos,3er,8,cacería,cortas,2024
nayarit,3er,2,cacería,cortas,2024
nuevo leon,3er,57,cacería,cortas,2024
oaxaca,3er,0,cacería,cortas,2024
puebla,3er,11,cacería,cortas,2024
queretaro,3er,0,cacería,cortas,2024
q. roo,3er,0,cacería,cortas,2024
s.l.p.,3er,0,cacería,cortas,2024
sinaloa,3er,15,cacería,cortas,2024
sonora,3er,4,cacería,cortas,2024
tabasco,3er,0,cacería,cortas,2024
tamaulipas,3er,7,cacería,cortas,2024
tlaxcala,3er,0,cacería,cortas,2024
veracruz,3er,0,cacería,cortas,2024
yucatan,3er,13,cacería,cortas,2024
zacatecas,3er,12,cacería,cortas,2024
aguascalientes,3er,0,cacería,largas,2024
baja california,3er,0,cacería,largas,2024
baja california  sur,3er,0,cacería,largas,2024
campeche,3er,0,cacería,largas,2024
chiapas,3er,4,cacería,largas,2024
chihuahua,3er,0,cacería,largas,2024
cd. mex,3er,0,cacería,largas,2024
coahuila,3er,21,cacería,largas,2024
colima,3er,0,cacería,largas,2024
durango,3er,2,cacería,largas,2024
edo. mex.,3er,82,cacería,largas,2024
guanajuato,3er,4,cacería,largas,2024
guerrero,3er,1,cacería,largas,2024
hidalgo,3er,0,cacería,largas,2024
jalisco,3er,12,cacería,largas,2024
michoacan,3er,8,cacería,largas,2024
morelos,3er,8,cacería,largas,2024
nayarit,3er,0,cacería,largas,2024
nuevo leon,3er,15,cacería,largas,2024
oaxaca,3er,4,cacería,largas,2024
puebla,3er,2,cacería,largas,2024
queretaro,3er,0,cacería,largas,2024
q. roo,3er,0,cacería,largas,2024
s.l.p.,3er,1,cacería,largas,2024
sinaloa,3er,8,cacería,largas,2024
sonora,3er,17,cacería,largas,2024
tabasco,3er,3,cacería,largas,2024
tamaulipas,3er,6,cacería,largas,2024
tlaxcala,3er,0,cacería,largas,2024
veracruz,3er,3,cacería,largas,2024
yucatan,3er,0,cacería,largas,2024
zacatecas,3er,4,cacería,largas,2024
aguascalientes,3er,0,personal_militar_en_activo,largas,2024
baja california,3er,22,personal_militar_en_activo,largas,2024
baja california  sur,3er,0,personal_militar_en_activo,largas,2024
campeche,3er,16,personal_militar_en_activo,largas,2024
chiapas,3er,2,personal_militar_en_activo,largas,2024
chihuahua,3er,4,personal_militar_en_activo,largas,2024
cd. mex,3er,0,personal_militar_en_activo,largas,2024
coahuila,3er,89,personal_militar_en_activo,largas,2024
colima,3er,0,personal_militar_en_activo,largas,2024
durango,3er,7,personal_militar_en_activo,largas,2024
edo. mex.,3er,465,personal_militar_en_activo,largas,2024
guanajuato,3er,30,personal_militar_en_activo,largas,2024
guerrero,3er,16,personal_militar_en_activo,largas,2024
hidalgo,3er,0,personal_militar_en_activo,largas,2024
jalisco,3er,0,personal_militar_en_activo,largas,2024
michoacan,3er,42,personal_militar_en_activo,largas,2024
morelos,3er,20,personal_militar_en_activo,largas,2024
nayarit,3er,6,personal_militar_en_activo,largas,2024
nuevo leon,3er,32,personal_militar_en_activo,largas,2024
oaxaca,3er,14,personal_militar_en_activo,largas,2024
puebla,3er,27,personal_militar_en_activo,largas,2024
queretaro,3er,8,personal_militar_en_activo,largas,2024
q. roo,3er,0,personal_militar_en_activo,largas,2024
s.l.p.,3er,0,personal_militar_en_activo,largas,2024
sinaloa,3er,34,personal_militar_en_activo,largas,2024
sonora,3er,88,personal_militar_en_activo,largas,2024
tabasco,3er,6,personal_militar_en_activo,largas,2024
tamaulipas,3er,40,personal_militar_en_activo,largas,2024
tlaxcala,3er,7,personal_militar_en_activo,largas,2024
veracruz,3er,9,personal_militar_en_activo,largas,2024
yucatan,3er,10,personal_militar_en_activo,largas,2024
zacatecas,3er,18,personal_militar_en_activo,largas,2024
aguascalientes,3er,0,personal_militar_en_activo,cortas,2024
baja california,3er,8,personal_militar_en_activo,cortas,2024
baja california  sur,3er,3,personal_militar_en_activo,cortas,2024
campeche,3er,0,personal_militar_en_activo,cortas,2024
chiapas,3er,4,personal_militar_en_activo,cortas,2024
chihuahua,3er,0,personal_militar_en_activo,cortas,2024
cd. mex,3er,0,personal_militar_en_activo,cortas,2024
coahuila,3er,4,personal_militar_en_activo,cortas,2024
colima,3er,0,personal_militar_en_activo,cortas,2024
durango,3er,0,personal_militar_en_activo,cortas,2024
edo. mex.,3er,"1,056",personal_militar_en_activo,cortas,2024
guanajuato,3er,0,personal_militar_en_activo,cortas,2024
guerrero,3er,1,personal_militar_en_activo,cortas,2024
hidalgo,3er,0,personal_militar_en_activo,cortas,2024
jalisco,3er,0,personal_militar_en_activo,cortas,2024
michoacan,3er,0,personal_militar_en_activo,cortas,2024
morelos,3er,0,personal_militar_en_activo,cortas,2024
nayarit,3er,0,personal_militar_en_activo,cortas,2024
nuevo leon,3er,58,personal_militar_en_activo,cortas,2024
oaxaca,3er,0,personal_militar_en_activo,cortas,2024
puebla,3er,6,personal_militar_en_activo,cortas,2024
queretaro,3er,0,personal_militar_en_activo,cortas,2024
q. roo,3er,0,personal_militar_en_activo,cortas,2024
s.l.p.,3er,1,personal_militar_en_activo,cortas,2024
sinaloa,3er,2,personal_militar_en_activo,cortas,2024
sonora,3er,6,personal_militar_en_activo,cortas,2024
tabasco,3er,6,personal_militar_en_activo,cortas,2024
tamaulipas,3er,0,personal_militar_en_activo,cortas,2024
tlaxcala,3er,0,personal_militar_en_activo,cortas,2024
veracruz,3er,1,personal_militar_en_activo,cortas,2024
yucatan,3er,3,personal_militar_en_activo,cortas,2024
zacatecas,3er,1,personal_militar_en_activo,cortas,2024
aguascalientes,3er,0,protección_a_parcela,cortas,2024
baja california,3er,0,protección_a_parcela,cortas,2024
baja california  sur,3er,0,protección_a_parcela,cortas,2024
campeche,3er,0,protección_a_parcela,cortas,2024
chiapas,3er,0,protección_a_parcela,cortas,2024
chihuahua,3er,0,protección_a_parcela,cortas,2024
cd. mex,3er,0,protección_a_parcela,cortas,2024
coahuila,3er,0,protección_a_parcela,cortas,2024
colima,3er,0,protección_a_parcela,cortas,2024
durango,3er,0,protección_a_parcela,cortas,2024
edo. mex.,3er,256,protección_a_parcela,cortas,2024
guanajuato,3er,0,protección_a_parcela,cortas,2024
guerrero,3er,0,protección_a_parcela,cortas,2024
hidalgo,3er,0,protección_a_parcela,cortas,2024
jalisco,3er,0,protección_a_parcela,cortas,2024
michoacan,3er,0,protección_a_parcela,cortas,2024
morelos,3er,0,protección_a_parcela,cortas,2024
nayarit,3er,0,protección_a_parcela,cortas,2024
nuevo leon,3er,12,protección_a_parcela,cortas,2024
oaxaca,3er,0,protección_a_parcela,cortas,2024
puebla,3er,0,protección_a_parcela,cortas,2024
queretaro,3er,0,protección_a_parcela,cortas,2024
q. roo,3er,0,protección_a_parcela,cortas,2024
s.l.p.,3er,0,protección_a_parcela,cortas,2024
sinaloa,3er,1,protección_a_parcela,cortas,2024
sonora,3er,3,protección_a_parcela,cortas,2024
tabasco,3er,0,protección_a_parcela,cortas,2024
tamaulipas,3er,0,protección_a_parcela,cortas,2024
tlaxcala,3er,1,protección_a_parcela,cortas,2024
veracruz,3er,0,protección_a_parcela,cortas,2024
yucatan,3er,0,protección_a_parcela,cortas,2024
zacatecas,3er,2,protección_a_parcela,cortas,2024
aguascalientes,3er,0,protección_a_parcela,largas,2024
baja california,3er,0,protección_a_parcela,largas,2024
baja california  sur,3er,0,protección_a_parcela,largas,2024
campeche,3er,0,protección_a_parcela,largas,2024
chiapas,3er,6,protección_a_parcela,largas,2024
chihuahua,3er,0,protección_a_parcela,largas,2024
cd. mex,3er,0,protección_a_parcela,largas,2024
coahuila,3er,0,protección_a_parcela,largas,2024
colima,3er,0,protección_a_parcela,largas,2024
durango,3er,0,protección_a_parcela,largas,2024
edo. mex.,3er,14,protección_a_parcela,largas,2024
guanajuato,3er,0,protección_a_parcela,largas,2024
guerrero,3er,7,protección_a_parcela,largas,2024
hidalgo,3er,0,protección_a_parcela,largas,2024
jalisco,3er,0,protección_a_parcela,largas,2024
michoacan,3er,2,protección_a_parcela,largas,2024
morelos,3er,0,protección_a_parcela,largas,2024
nayarit,3er,0,protección_a_parcela,largas,2024
nuevo leon,3er,0,protección_a_parcela,largas,2024
oaxaca,3er,1,protección_a_parcela,largas,2024
puebla,3er,0,protección_a_parcela,largas,2024
queretaro,3er,0,protección_a_parcela,largas,2024
q. roo,3er,0,protección_a_parcela,largas,2024
s.l.p.,3er,0,protección_a_parcela,largas,2024
sinaloa,3er,1,protección_a_parcela,largas,2024
sonora,3er,0,protección_a_parcela,largas,2024
tabasco,3er,0,protección_a_parcela,largas,2024
tamaulipas,3er,0,protección_a_parcela,largas,2024
tlaxcala,3er,0,protección_a_parcela,largas,2024
veracruz,3er,0,protección_a_parcela,largas,2024
yucatan,3er,3,protección_a_parcela,largas,2024
zacatecas,3er,0,protección_a_parcela,largas,2024
aguascalientes,3er,0,colección,cortas,2024
baja california,3er,0,colección,cortas,2024
baja california  sur,3er,2,colección,cortas,2024
campeche,3er,0,colección,cortas,2024
chiapas,3er,0,colección,cortas,2024
chihuahua,3er,0,colección,cortas,2024
cd. mex,3er,0,colección,cortas,2024
coahuila,3er,0,colección,cortas,2024
colima,3er,0,colección,cortas,2024
durango,3er,0,colección,cortas,2024
edo. mex.,3er,13,colección,cortas,2024
guanajuato,3er,0,colección,cortas,2024
guerrero,3er,3,colección,cortas,2024
hidalgo,3er,0,colección,cortas,2024
jalisco,3er,0,colección,cortas,2024
michoacan,3er,0,colección,cortas,2024
morelos,3er,0,colección,cortas,2024
nayarit,3er,0,colección,cortas,2024
nuevo leon,3er,0,colección,cortas,2024
oaxaca,3er,3,colección,cortas,2024
puebla,3er,0,colección,cortas,2024
queretaro,3er,0,colección,cortas,2024
q. roo,3er,0,colección,cortas,2024
s.l.p.,3er,0,colección,cortas,2024
sinaloa,3er,1,colección,cortas,2024
sonora,3er,1,colección,cortas,2024
tabasco,3er,0,colección,cortas,2024
tamaulipas,3er,0,colección,cortas,2024
tlaxcala,3er,0,colección,cortas,2024
veracruz,3er,1,colección,cortas,2024
yucatan,3er,0,colección,cortas,2024
zacatecas,3er,0,colección,cortas,2024
aguascalientes,3er,0,colección,largas,2024
baja california,3er,0,colección,largas,2024
baja california  sur,3er,0,colección,largas,2024
campeche,3er,0,colección,largas,2024
chiapas,3er,0,colección,largas,2024
chihuahua,3er,0,colección,largas,2024
cd. mex,3er,0,colección,largas,2024
coahuila,3er,0,colección,largas,2024
colima,3er,0,colección,largas,2024
durango,3er,0,colección,largas,2024
edo. mex.,3er,6,colección,largas,2024
guanajuato,3er,0,colección,largas,2024
guerrero,3er,0,colección,largas,2024
hidalgo,3er,0,colección,largas,2024
jalisco,3er,0,colección,largas,2024
michoacan,3er,0,colección,largas,2024
morelos,3er,0,colección,largas,2024
nayarit,3er,0,colección,largas,2024
nuevo leon,3er,0,colección,largas,2024
oaxaca,3er,0,colección,largas,2024
puebla,3er,0,colección,largas,2024
queretaro,3er,0,colección,largas,2024
q. roo,3er,0,colección,largas,2024
s.l.p.,3er,0,colección,largas,2024
sinaloa,3er,0,colección,largas,2024
sonora,3er,0,colección,largas,2024
tabasco,3er,0,colección,largas,2024
tamaulipas,3er,0,colección,largas,2024
tlaxcala,3er,0,colección,largas,2024
veracruz,3er,0,colección,largas,2024
yucatan,3er,0,colección,largas,2024
zacatecas,3er,0,colección,largas,2024
